,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Kutry meldunkowe,['Kuter meldunkowy'],['Okręty wojenne'],,"['KM 12 (kuter meldunkowy)', 'KM 13 (kuter meldunkowy)', 'KM 14 (kuter meldunkowy)', 'KM 15 (kuter meldunkowy)']",,,
KM 12 (kuter meldunkowy),['Kuter meldunkowy KM 12'],['Kutry meldunkowe'],,,,,
KM 13 (kuter meldunkowy),['Kuter meldunkowy KM 13'],['Kutry meldunkowe'],,,,,
KM 14 (kuter meldunkowy),['Kuter meldunkowy KM 14'],['Kutry meldunkowe'],,,,,
KM 15 (kuter meldunkowy),['Kuter meldunkowy KM 15'],['Kutry meldunkowe'],,,,,
Zamach stanu w Tajlandii (2014),"['Kryzys polityczny w Tajlandii (2013-2014)', 'Pucz wojskowy w Tajlandii (2014)', 'Thai political crisis']",['Zamach stanu'],,,,,
Tajemnica wojskowa,['Tajemnice wojskowe'],['Tajemnica'],"['Tajemnica państwowa', 'Tajemnica służbowa', 'Wojsko']",,,,
"Medal ""Pro Patria""",['Pro Patria (medal)'],['Medale'],['Kombatanci'],,,,
Broń radiologiczna,"['Broń brudna', 'Brudna bomba', 'Dirty bomb', 'Radiological dispersal devices (RDD)', 'Radiological weapons', 'RDD (radiological dispersal devices)']",['Broń'],['Skażenie promieniotwórcze'],,,,
Ścigacze artyleryjskie,['Ścigacz artyleryjski'],['Okręty wojenne'],['Ścigacze torpedowo-artyleryjskie'],"['S-1 (ścigacz artyleryjski)', 'S-2 (ścigacz artyleryjski)', 'S-3 (ścigacz artyleryjski)', 'S-4 (ścigacz artyleryjski)']",,,
S-1 (ścigacz artyleryjski),"['ORP S.1 (ścigacz artyleryjski)', 'ORP S-1 (ścigacz artyleryjski)', 'S.1 (ścigacz artyleryjski)', 'Ścigacz artyleryjski ORP S-1', 'Ścigacz artyleryjski S-1', 'Ścigacz S.1 (ścigacz artyleryjski)', 'Ścigacz S-1 (ścigacz artyleryjski)']",['Ścigacze artyleryjskie'],,,,,
S-2 (ścigacz artyleryjski),"['ORP S-2 (ścigacz artyleryjski)', 'Ścigacz artyleryjski ORP S-2', 'Ścigacz artyleryjski S-2']",['Ścigacze artyleryjskie'],,,,,
S-3 (ścigacz artyleryjski),"['ORP S-3 (ścigacz artyleryjski)', 'Ścigacz artyleryjski ORP S-3', 'Ścigacz artyleryjski S-3']",['Ścigacze artyleryjskie'],,,,,
