,450a,550 'w': 'g',550a,550 'w': 'h',555a,555 'w': 'h',555 'w': 'g'
Ekwipunek wojskowy,"['Oporządzenie żołnierza', 'Rynsztunek', 'Wojskowy ekwipunek', 'Wyekwipowanie', 'Wyposażenie indywidualne żołnierza', 'Wyposażenie żołnierza']",['Sprzęt wojskowy'],"['Broń', 'Kamizelka kuloodporna', 'Kompas', 'Manierka', 'Maska przeciwgazowa', 'Militaria', 'Mundury', 'Noktowizor', 'Rząd koński', 'Scyzoryk', 'Wojsko']","['Hełmy (wojsko)', 'Znak tożsamości żołnierza']",,,
Badania nad pokojem,"['Filozofia pokoju', 'Irenologia', 'Teoria pokoju', 'Peace and conflict studies']",,"['Bezpieczeństwo międzynarodowe', 'Bezpieczeństwo militarne państwa', 'Bezpieczeństwo narodowe', 'Filozofia bezpieczeństwa', 'Pokój', 'Polemologia', 'Polityka międzynarodowa', 'Polityka zagraniczna', 'Szkoła kopenhaska (politologia)', 'Sztuka wojenna', 'Wojna']",,,,
Agenci CIA,"['CIA Agent', 'Central Intelligence Agency Agent']",['Zawód'],"['Tajni współpracownicy służb specjalnych', 'Wywiad amerykański']",,,,
HSK-8 Kormoran,"['Handelsstörkreuzer 8', 'HSK-8', 'Kormoran (krążownik)', 'Raider G', 'Schiff 41', 'Steiermark']",['Krążowniki pomocnicze'],,,,,
Zachowania ryzykowne,['Zachowania problemowe'],['Zachowanie'],"['Badanie ESPAD', 'FreD goes net (program profilaktyczny)', 'Nadużywanie alkoholu', 'Percepcja ryzyka', 'Profilaktyka szkolna', 'Ryzyko']",,,,
Monitoring osób,"['Systemy informatyczne monitoringu osób', 'Systemy informatyczne nadzoru osób', 'Systemy monitoringu osób']",['Systemy informatyczne'],['Ochrona osób'],,,,
Mittlerer Schützenpanzerwagen,"['Sd.Kfz.251', 'SPW SdKfz.251']",['Transportery opancerzone'],,,,,
Szeryfowie,"['Szeryf', 'Sheriff']",,['Bezpieczeństwo publiczne'],,,,
Odzyskiwanie izolowanego personelu,"['Odzyskiwanie personelu', 'Odzyskiwanie personelu cywilnego', 'Odzyskiwanie personelu wojskowego', 'Personnel Recovery']",,"['Bezprawna izolacja', 'Uprowadzenie', 'Zakładnicy']",,,,
Operacje reagowania kryzysowego,"['Crisis response operations', 'Operacje antykryzysowe']",,"['Bezpieczeństwo międzynarodowe', 'Działania specjalne (wojsko)', 'Kryzys', 'Operacje pokojowe', 'Operacje wojenne', 'Sztuka operacyjna']",,,,
Oddziały samoobrony,"['Armed vigilantism', 'Prywatne oddziały samoobrony', 'Straż obywatelska', 'Vigilantism']",,"['Bezpieczeństwo narodowe', 'Bezpieczeństwo publiczne', 'Obrona terytorium kraju', 'Wojna']",['Organizacje paramilitarne'],,,
Chauchat (karabin),"['Ręczny karabin maszynowy Chauchat', 'Fusil-Mitraileur Chauchat Mle15', 'RKM Chauchat wz. 1915']",['Karabin maszynowy'],,,,,
Straż pożarna,['Straż ogniowa'],['Policja administracyjna'],"['Ochotnicza straż pożarna (OSP)', 'Pożarnictwo']",,,,
Ochotnicza straż pożarna (OSP),"['Ochotnicze straże pożarne (OSP)', 'OSP (ochotnicza straż pożarna)', 'RKO']",,"['Pożarnictwo', 'Straż pożarna']",,,,
Partyzanci,"['Guerillas', 'Formacje nieregularne', 'Siły partyzanckie']",,['Wojna partyzancka'],,,,
Policjanci,"['Police officer', 'Policeman']",['Zawód'],"['Duszpasterstwo policji', 'Policja', 'Skuteczne działanie w stresie (program)', 'Stopnie wojskowe i służb mundurowych']","['Dzielnicowi', 'Negocjatorzy policyjni', 'Technicy kryminalistyki']",,,
Żołnierze,"['Żołnierz zawodowy', 'Wojskowi', 'Soldiers']","['Służby mundurowe', 'Zawód']","['Bunty w wojsku', 'Cmentarze wojenne', 'Dowódcy', 'Dom Żołnierza (Gniezno ; budynek)', 'Dom Żołnierza (Gubin ; budynek)', 'Etyka żołnierska', 'Grób Nieznanego Żołnierza (Łódź)', 'Grób Nieznanego Żołnierza (Tarnów)', 'Grób Nieznanego Żołnierza (Warszawa)', 'Grób Nieznanego Żołnierza (Żółkiew)', 'Ochotnicy (wojsko)', 'Opiniowanie służbowe żołnierzy zawodowych', 'Psychologia wojskowa', 'Stopnie wojskowe i służb mundurowych', 'Wojsko', 'Znak tożsamości żołnierza', 'Żołd', 'Żywienie w wojsku']","['Dzieci-żołnierze', 'Hetmani', 'Jeńcy wojenni', 'Kombatanci', 'Lotnicy wojskowi', 'Oficerowie', 'Poborowi', 'Podoficerowie', 'Rezerwiści']","['Sztuka okopowa', 'Teatr wojskowy']",,
System Rozpoznania ISTAR,"['Intelligence, surveillance and reconnaissance', 'Intelligence, surveillance, target acquisition and reconnaissance', 'ISR', 'RSTA', 'Reconnaissance, surveillance and target acquisition', 'STA', 'Surveillance and target acquisition', 'STAR', 'Surveillance, target acquisition and reconnaissance', 'ISTAR']",,['Rozpoznanie (wojsko)'],,,,
Współpraca wojskowa,,,"['Europejska autonomia strategiczna', 'Misja szkoleniowa UE w Mali', 'Program Wsparcia Bezpieczeństwa Regionu 2022 (ReSAP)', 'Stacjonowanie wojsk obcych', 'Wojna', 'Wojsko', 'Współpraca cywilno-wojskowa']",,,,
Logistyka wojskowa,"['Logistyka obronna', 'Logistyka operacyjna', 'Logistyka wojenna', 'Zaopatrzenie wojsk']","['Logistyka', 'Sztuka wojenna']","['Aprowizacja wojenna', 'Bazy wojskowe', 'Host Nation Support (HNS)', 'Kwatermistrzostwo', 'Logistyka gospodarcza', 'Wojsko', 'Wojskowy oddział gospodarczy (WOG)', 'Współpraca cywilno-wojskowa', 'Żywienie w wojsku']",,,,
Sturmhaubitze 42 (działo),"['Sd Kfz 142/2 (działo)', 'StuH 42 Sd Kfz 142/2 (działo)']",['Działa samobieżne'],,,,,
Zapobieganie,,,,,,,
Karabin powtarzalny,['Repeating rifles'],['Karabin'],,"['Berthier Mle 1907-15', 'Lebel Mle 1886', 'Mannlicher (karabin)', 'Mauser (karabin)']",,,
Okręty pomocnicze,['Pomocnicza jednostka pływająca'],['Okręty wojenne'],"['Statki pomocnicze', 'Statki szpitalne', 'Wilhelm Gustloff (statek)', 'Wilja (okręt)']","['Okręty hydrograficzne', 'Okręty szkolne', 'Lech (okręt ratowniczy)', 'Piast (okręt ratowniczy)']",,,
Mannlicher (karabin),"['Mannlicher M1895', 'M1895']",['Karabin powtarzalny'],,,,,
Zamach stanu w Turcji (2016),"['Pucz w Turcji (2016)', 'Zamach stanu (Turcja ; 2016)']",['Zamach stanu'],,,,,
Łączność wojskowa,"['Komunikacja wojskowa', 'Łączność alarmowa', 'Łączność środkami ruchomymi', 'Łączność wojskowa cyfrowa', 'Łączność wojskowa laserowa', 'Łączność wojskowa pokładowa', 'Łączność wojskowa polowa', 'Łączność wojskowa przewodowa', 'Łączność wojskowa radioliniowa', 'Łączność wojskowa radiotelefoniczna', 'Łączność wojskowa radiotelegraficzna', 'Łączność wojskowa radiowa', 'Łączność wojskowa satelitarna', 'Łączność wojskowa sygnalizacyjna', 'Łączność wojskowa teledacyjna', 'Łączność wojskowa telewizyjna', 'Poczta wojskowa', 'Służby łączności i informatyki', 'Systemy łączności i transmisji informacji', 'Military communications', 'Środki łączności wojskowej', 'Środki i urządzenia łączności', 'Telekomunikacja wojskowa', 'Wojskowe systemy teleinformatyczne']",,"['Juzistki', 'Lotnictwo towarzyszące']",['Poczta polowa'],,,
Monitoring powodziowy,['Powodziowy monitoring'],,"['Ochrona przeciwpowodziowa', 'Projekt Ochrony Przeciwpowodziowej w dorzeczu rzeki Odry', 'Stany wód', 'Wodowskaz']",,,,
Bitwy morskie,['Naval battles'],"['Bitwy', 'Wojna morska']",['Zdobycie Akki (1840)'],"['Bitwa falklandzka (1914)', 'Bitwa jutlandzka (1916)', 'Bitwa koło Przylądka Ésperance (1942)', 'Bitwa koło przylądka Spatha (1940)', 'Bitwa koło Wysp Egadzkich (241 p.n.e.)', 'Bitwa na Morzu Jawajskim (1942)', 'Bitwa na Morzu Koralowym (1942)', 'Bitwa na Zalewie Wiślanym (1463)', 'Bitwa nad Dźwiną (1701)', 'Bitwa o Gallipoli (1915-1916)', 'Bitwa o Guadalcanal (1942-1943)', 'Bitwa o Iwo Jimę (1945)', 'Bitwa o Mariany (1944)', 'Bitwa o Midway (1942)', 'Bitwa o Okinawę (1945)', 'Bitwa o Wyspy Paracelskie (1974)', 'Bitwa pod Akcjum (31 p.n.e.)', 'Bitwa pod Arginuzami (406 p.n.e.)', 'Bitwa pod Callao (1866)', 'Bitwa pod Coronelem (1914)', 'Bitwa pod Cuszimą (1905)', 'Bitwa pod Czemulpo (1904)', 'Bitwa pod Drepanum (249 p.n.e.)', 'Bitwa pod Gravelines (1588)', 'Bitwa pod Ko Chang (1941)', 'Bitwa pod Korfu (1716)', 'Bitwa pod Kuantanem (1941)', 'Bitwa pod Kyme (474 p.n.e.)', 'Bitwa pod La Rochelle (1372)', 'Bitwa pod Lepanto (1571)', 'Bitwa pod Leyte (1944)', 'Bitwa pod Lissą (1866)', 'Bitwa pod Oliwą (1627)', 'Bitwa pod Salaminą (480 p.n.e.)', 'Bitwa pod Santiago de Cuba (1898)', 'Bitwa pod Texel (1673)', 'Bitwa pod Trafalgarem (1805)', 'Bitwa pod Ushant (1794)', 'Bitwa pod Ushant (1944)', 'Bitwa u przylądka Matapan (1941)', 'Bitwa u ujścia Ajgospotamoj (405 p.n.e.)', 'Bitwa u ujścia Jalu (1894)', 'Bitwa u ujścia La Platy (1939)', 'Bitwa w zatoce Abu Kir (1798)', 'Bitwa w zatoce Hampton Roads (1862)', 'Obrona Port Arthur (1904)']",,,
Bitwy powietrzne,['Air battles'],"['Bitwy', 'Wojna lotnicza']",,"['Atak na Pearl Harbor (1941)', 'Bitwa na Morzu Koralowym (1942)', 'Bitwa o Anglię (1940)', 'Bitwa o Midway (1942)', 'Bitwa o Singapur (1942)', 'Bitwa pod Leyte (1944)', 'Bitwa pod Tarentem (1940)']",,,
Eskadra (wojsko),['Squadron'],"['Lotnictwo wojskowe', 'Marynarka wojenna', 'Pododdział (wojsko)']",,,,,
Kursy wojskowe,"['Kursy szkoleniowe wojskowe', 'Kształcenie wojskowe ustawiczne']",,"['Ćwiczenia wojskowe', 'Szkolenie wojskowe']",,,,
Etyka żołnierska,"[""Soldier's ethics"", 'Etyka wojskowa', 'Etyka zawodu wojskowego', 'Etyka żołnierzy']",['Etyka zawodowa'],"['Dyscyplina wojskowa', 'Etyka zawodowa', 'Odmowa wykonania rozkazu', 'Żołnierze']",['Morale żołnierskie'],['Przysięga wojskowa'],,
Morale żołnierskie,"[""Soldier's morale"", 'Morale zawodu wojskowego', 'Morale żołnierzy']",['Etyka żołnierska'],['Psychologia wojskowa'],,,,
Nauki o bezpieczeństwie,"['Nauka o bezpieczeństwie', 'Securitologia', 'Sekuritologia', 'Sekurytologia']",['Nauki społeczne'],"['Antropologia bezpieczeństwa', 'Bezpieczeństwo', 'Edukacja dla bezpieczeństwa', 'Nauki o obronności', 'Specjaliści ds. bezpieczeństwa i obronności']",,,,
Administratorzy bezpieczeństwa informacji,"['ABI', 'Data Protection Officer', 'DPO']",,"['Administratorzy danych osobowych', 'Bezpieczeństwo informacyjne', 'Ochrona danych osobowych']",,,,
Twierdza Biała Cerkiew (Ukraina),"['Biała Cerkiew, Twierdza']",['Twierdze i fortyfikacje'],,,,,
Oksywie (kuter rakietowy),"['Kuter rakietowy Oksywie', 'Oksywie (okręt ; 1971-2000)', 'ORP Oksywie (kuter rakietowy)', 'Okręt Rzeczypospolitej Polskiej ""Oksywie"" (kuter rakietowy)']",['Kutry rakietowe projektu 205 Osa'],,,,,
Kuter rakietowy,"['Kutry rakietowe', 'Missile boats']",['Okręty wojenne'],,['Kutry rakietowe projektu 205 Osa'],,,
Lotnicy wojskowi,"['Air pilots, Military', 'Piloci wojskowi']","['Lotnicy', 'Żołnierze']",['Lotnictwo wojskowe'],,,,
Kumulacja (wybuch),['Cumulation (explosion)'],['Wybuch'],"['Materiały wybuchowe', 'Pociski', 'Pociski kumulacyjne']",,,,
Agenci FBI,"['FBI Agent', 'Federal Bureau of Investigation Agent']",['Zawód'],"['Tajni współpracownicy służb specjalnych', 'Wywiad amerykański']",,,,
PZInż 302 (ciągnik artyleryjski),"['Ciągnik artyleryjski PZInż 302', 'Ciągnik PZInż 302', 'Ciągnik PZInż typ 302']",['Ciągniki artyleryjskie'],,,,,
PZInż 303 (ciągnik artyleryjski),"['Ciągnik artyleryjski PZInż 303', 'Ciągnik PZInż 303', 'Ciągnik PZInż typ 303']","['Ciągniki artyleryjskie', 'Samochody terenowe']",,,,,
Triery,"['Triera', 'Trirema', 'Trireme', 'Triremy']","['Galery (okręty)', 'Okręty wojenne']",,,,,
T-26 (czołg),"['T-26 (tank)', 'Czołg T-26']",['Czołgi lekkie'],,,,,
Fokker Eindecker (samoloty),['Fokker E.I-IV'],['Samoloty myśliwskie'],,,,,
Nevada (pancerniki),['Pancerniki typu Nevada'],['Pancerniki (okręty)'],,,,,
Pennsylvania (pancerniki),['Pancerniki typu Pennsylvania'],['Pancerniki (okręty)'],,,,,
New Mexico (pancerniki),['Pancerniki typu New Mexico'],['Pancerniki (okręty)'],,,,,
Dreadnought (okręt ; 1906-1923),"['Drednot (okręt ; 1906-1923)', 'HMS Dreadnought', 'Pancernik Dreadnought', 'Pancernik HMS Dreadnought']",['Pancerniki (okręty)'],,,,,
Zbroja końska,['Ladrowanie'],['Zbroja'],"['Kawaleria', 'Koń']",,,,
Modelarstwo wojskowe,"['Militaria miniaturowe', 'Military models', 'Miniatury militariów', 'Modelarstwo militarne']",['Modelarstwo'],['Militaria'],,,,
Dochodzenia popożarowe,"['Badanie przyczyn pożaru', 'Dochodzenie popożarowe', 'Postępowania popożarowe', 'Postępowanie popożarowe', 'Ustalanie przyczyn pożaru']",,['Pożarnictwo'],,,,
Półzbroja,,['Zbroja'],,,,,
Antyterroryzm,,,"['Bezpieczeństwo publiczne', 'Jednostki antyterrorystyczne', 'Kontrterroryzm', 'Stopnie alarmowe', 'Terroryzm']",,,,
Ludność cywilna,"['Civilians', 'Cywile', 'Osoby cywilne']",['Ludność'],['Ochrona ludności'],,,,
Bezpieczeństwo ekologiczne,['Bezpieczeństwo środowiskowe'],['Bezpieczeństwo'],['Ochrona środowiska'],,,,
Oblężenia,"['Działania oblężnicze', 'Oblężenie', 'Siege', 'Sieges']",['Wojna'],"['Bitwy', 'Machiny i urządzenia oblężnicze', 'Zdobycie Akki (1840)', 'Zdobycie Rzymu (410)', 'Zdobycie Rzymu (455)']","['Bitwa o Budapeszt (1944-1945)', 'Bitwa o Madryt (1936-1939)', 'Bitwa o Głogów (1813-1814)', 'Bitwa o Paryż (1814)', 'Bitwa o Wrocław (1945)', 'Bitwa pod Adrianopolem (1205)', 'Bitwa pod Kostrzynem (1945)', 'Bitwa pod Tuluzą (1814)', 'Oblężenie Amidy (359)', 'Oblężenie Antiochii (1097-1098)', 'Oblężenie Badajoz (1812)', 'Oblężenie Barcelony (1706)', 'Oblężenie Belgradu (1717)', 'Oblężenie Brzegu (1807)', 'Oblężenie Chojnic (1466)', 'Oblężenie Cingtao (1914)', 'Oblężenie Częstochowy (1655)', 'Oblężenie Częstochowy (1813)', 'Oblężenie Dorostolonu (971)', 'Oblężenie Egeru (1552)', 'Oblężenie Erywania (1827)', 'Oblężenie Gdańska (1734)', 'Oblężenie Gdańska (1807)', 'Oblężenie Gdańska (1813)', 'Oblężenie Gibraltaru (1704-1705)', 'Oblężenie Głogowa (1806)', 'Oblężenie Kadyksu (1810-1812)', 'Oblężenie Kołobrzegu (1807)', 'Oblężenie Konstantynopola (626)', 'Oblężenie Konstantynopola (717-718)', 'Oblężenie Konstantyny (1837)', 'Oblężenie Kostrzyna nad Odrą (1758)', 'Oblężenie Koźla (1807)', 'Oblężenie Krakowa (1655)', 'Oblężenie Krakowa (1657)', 'Oblężenie La Rochelle (1627-1628)', 'Oblężenie Leningradu (1941-1944)', 'Oblężenie Lublina (1341)', 'Oblężenie Lwowa (1648)', 'Oblężenie Lwowa (1672)', 'Oblężenie Maastricht (1673)', 'Oblężenie Malborka (1410)', 'Oblężenie Malborka (1457-1460)', 'Oblężenie Malty (1798–1800)', 'Oblężenie Massalii (49 p.n.e.)', 'Oblężenie Montségur (1243-1244)', 'Oblężenie Namur (1692)', 'Oblężenie Oczakowa (1788)', 'Oblężenie Ostrzyhomia (1683)', 'Oblężenie Paryża (885-886)', 'Oblężenie Paryża (1870)', 'Oblężenie Połocka (1579)', 'Oblężenie Poznania (1655)', 'Oblężenie Poznania (1704)', 'Oblężenie Pskowa (1581-1582)', 'Oblężenie Rodos (305-304 p.n.e.)', 'Oblężenie Rodos (1480)', 'Oblężenie Sandomierza (1259-1260)', 'Oblężenie Sarajewa (1992-1996)', 'Oblężenie Seringapatam (1799)', 'Oblężenie Sewastopola (1941-1942)', 'Oblężenie Smoleńska (1514)', 'Oblężenie Smoleńska (1609-1611)', 'Oblężenie Smoleńska (1632-1634)', 'Oblężenie Stralsundu (1715)', 'Oblężenie Syrakuz (212-211 p.n.e.)', 'Oblężenie Świdnicy (1757)', 'Oblężenie Świdnicy (1758)', 'Oblężenie Świdnicy (1761)', 'Oblężenie Świdnicy (1762)', 'Oblężenie Świdnicy (1807)', 'Oblężenie Torunia (1629)', 'Oblężenie Torunia (1658)', 'Oblężenie Torunia (1703)', 'Oblężenie Torunia (1813)', 'Oblężenie Trembowli (1675))', 'Oblężenie Trzebiatowa (1761)', 'Oblężenie Tulonu (1793)', 'Oblężenie Twierdzy Przemyśl (1914-1915)', 'Oblężenie Vicksburga (1862-1863)', 'Oblężenie Wenecji (1848-1849)', 'Oblężenie Wielkich Łuk (1580)', 'Oblężenie Wrocławia (1806-1807)', 'Oblężenie Yorktown (1781)', 'Obrona Głogowa (1109)', 'Obrona Modlina (1915)', 'Obrona Preszburga (1620)', 'Walki o Tobruk (1940-1942)', 'Wielkie oblężenie Gibraltaru (1779-1783)', 'Zdobycie Grenady (1492)']",,,
Pomnik Poległych 6 Pułku Grenadierów (Poznań),"['Pomnik Grenadierów (Poznań)', 'Pomnik Grenadierów w Poznaniu', 'Pomnik Poległych 6 Pułku Grenadierów w Poznaniu']",['Pomniki'],,,,,
PZInż 312 (ciągnik artyleryjski),"['Ciągnik artyleryjski PZInż 312', 'Ciągnik PZInż 312', 'Ciągnik PZInż typ 312']",['Ciągniki artyleryjskie'],,,,,
PZInż 342 (ciągnik artyleryjski),"['C5P (ciągnik artyleryjski)', 'Ciągnik artyleryjski PZInż 342', 'Ciągnik PZInż 342', 'Ciągnik PZInż typ 342']",['Ciągniki artyleryjskie'],,,,,
PZInż 343 (ciągnik artyleryjski),"['Ciągnik 343', 'Ciągnik artyleryjski PZInż 343', 'Ciągnik PZInż 343', 'Ciągnik PZInż typ 343', 'Wóz terenowy PZInż 343']",['Ciągniki artyleryjskie'],,,,,
PZInż 322 (ciągnik artyleryjski),"['Ciągnik artyleryjski PZInż 322', 'Ciągnik PZInż 322', 'Ciągnik PZInż typ 322']",['Ciągniki artyleryjskie'],,,,,
PZInż 152 (ciągnik artyleryjski),"['Ciągnik artyleryjski PZInż 152', 'Ciągnik gąsienicowy PZInż 152', 'Ciągnik PZInż 152', 'Ciągnik PZInż typ 152']",['Ciągniki gąsienicowe'],,,,,
Autonomiczne systemy bojowe,"['Autonomous weapon systems', 'Lethal autonomous robots', 'Lethal autonomous weapons', 'Lethal autonomous weapon systems', 'AWS']",,['Broń'],,,,
Wywiad kubański,,,['Wywiad'],,,,
Kontrterroryzm,"['Counter-terrorism', 'Counterterrorism']",,"['Antyterroryzm', 'Bezpieczeństwo publiczne', 'Jednostki antyterrorystyczne', 'Terroryzm']",,,,
Generał Sosnkowski (okręt),['ORP Generał Sosnkowski'],['Okręty wojenne'],,,,,
Daimler Dingo (samochód pancerny),"['Daimler Scout Car', 'Scout Car Daimler Dingo', 'Scout Car Daimler', 'Dingo (samochód pancerny)']",['Samochody pancerne'],,,,,
Kryptologia,"['Cryptanalysis', 'Cryptography', 'Cryptology', 'Kryptoanaliza', 'Kryptografia']",,"['Blockchain', 'Ciąg pseudolosowy', 'Deszyfracja', 'Hasło (kryptografia)', 'Klucz (kryptografia)', 'Kodowanie sygnału', 'Kody', 'Kryptolodzy', 'Logarytm dyskretny', 'PGP (oprogramowanie)', 'Szyfry', 'Wielomiany rzadkie', 'Zarządzanie prawami cyfrowymi']",['Kryptografia kwantowa'],,,
Edukacja dla bezpieczeństwa (przedmiot szkolny),"['Edukacja do bezpieczeństwa', 'EDB']",['Przedmioty szkolne'],"['Edukacja dla bezpieczeństwa', 'Nauczyciele edukacji dla bezpieczeństwa']",,,,
Zapalnik zbliżeniowy,['Zapalniki zbliżeniowe'],['Zapalnik'],,,,,
Inżynieria bezpieczeństwa,,['Technika'],"['Bezpieczeństwo', 'Diagnostyka techniczna']",,,,
Eilat (okręt),"['Ejlat (okręt)', 'HMS Zelaous', 'Zealous HMS']",['Niszczyciele (okręty)'],,,,,
Panzerbefehlswagen,"['Panzer-Befehlswagen', 'Pz.Bef.Wg.', 'Sd Kfz 266', 'Sd Kfz 267', 'Sd Kfz 268']","['Czołgi średnie', 'Wozy dowodzenia']",,,,,
Panzerbeobachtungswagen III,"['Panzer III Sd Kfz 143', 'Sd Kfz 143']",['Czołgi średnie'],,,,,
Wojna cybernetyczna,"['Cyberwarfare', 'Cyberwojna']",['Wojna'],"['Bezpieczeństwo informacyjne państwa', 'Bezpieczeństwo teleinformatyczne', 'Cyberterroryzm']",,,,
Użycie broni palnej,['Specjalne użycie broni palnej'],,['Broń palna'],,,,
Ark Royal (okręt ; 1914-1944),"['HMS Ark Royal', 'Ark Royal drugi', 'HMS Pegasus', 'Ark Royal II', 'Drugi Ark Royal']","['Okręt-baza wodnosamolotów', 'Okręty wojenne']",,,,,
Okręt-baza wodnosamolotów,"['Tender wodnosamolotów', 'Transportowiec wodnosamolotów']","['Okręty wojenne', 'Statki']","['Lotniskowce', 'Wodnosamolot']",['Ark Royal (okręt ; 1914-1944)'],,,
Dyplomacja obronna,,['Dyplomacja'],['Bezpieczeństwo narodowe'],,,,
Zawołanie wojskowe,,,,,['Sygnały wojskowe'],,
Pirotechniczne układy opóźniające,"['PUO', 'Pyrotechnic delay devices', 'Układy opóźniające (pirotechnika)']",['Pirotechnika'],['Materiały wybuchowe'],,,,
System powiadamiania ratunkowego,,,"['Bezpieczeństwo publiczne', 'Operatorzy telefonów alarmowych', 'Ratownictwo medyczne']",,,,
Przeciwpancerne pociski podkalibrowe,"['Podkalibrowe pociski przeciwpancerne', 'Przeciwpancerna amunicja podkalibrowa', 'Przeciwpancerny pocisk podkalibrowy']",['Pociski przeciwpancerne'],['Pancerze (powłoki)'],,,,
Order Wojskowy Wilhelma,"['Order Wilhelma I', 'Militaire Willems-Orde', 'MWO']",['Ordery i odznaczenia'],,,,,
Polityka bezpieczeństwa,['Security policy'],,"['Bezpieczeństwo międzynarodowe', 'Bezpieczeństwo narodowe', 'Polityka obronna', 'Polityka wewnętrzna', 'Polityka zagraniczna', 'Razem bezpieczniej (program rządowy)', 'System obronny państwa']",,,,
Pistolet sygnałowy,['Rakietnica'],['Pistolet'],,,,,
Tennessee (pancerniki),['Pancerniki typu Tennessee'],['Pancerniki (okręty)'],,,,,
SM U-72 (okręt podwodny),['U-72 SM'],['Okręty podwodne'],['Palermo (statek)'],,,,
U-864 (okręt podwodny),['U-Boot 864'],['Okręty podwodne'],,,,,
Palermo (statek),"['SS ""British Princess"" (statek)']",,"['SM U-72 (okręt podwodny)', 'Statki']",,,,
Broń V,"['V broń', 'V-Waffen', 'V-weapons', 'Vergeltungswaffen']",,"['Akcja V-1, V-2', 'Bunkier V-3 (Mimoyecques)', 'II wojna światowa (1939-1945)']",['V-pociski'],,,
Żołd,,['Płaca'],"['Wojsko', 'Żołnierze']",,,,
Biedka,['Bieda (wózek)'],"['Pojazdy konne', 'Pojazdy wojskowe']",,,,,
Szkolenie wojskowe,"['Szkolenie sił zbrojnych', 'Szkolenia wojskowe']",,"['Advanced Distributed Learning (ADL)', 'Gotowość bojowa', 'Kursy wojskowe', 'Przysposobienie wojskowe', 'Służba wojskowa', 'Szkolenie SERE']","['Ćwiczenia wojskowe', 'Musztra']",,,
Obrona cywilna,['Civil defense'],['System obronny państwa'],"['Mechanizm Ochrony Ludności', 'Obrona terytorium kraju', 'Ochrona ludności', 'Planowanie obrony cywilnej w sytuacji zagrożeń']",,,,
Krajowa Mapa Zagrożeń Bezpieczeństwa,,['Portale internetowe'],['Bezpieczeństwo publiczne'],,,,
Demobilizacja (wojsko),['Demobilization'],,"['Mobilizacja (wojsko)', 'Rozbrojenie']",,,,
Szkoły wojskowe,"['Uczelnie wojskowe', 'Wojskowe szkoły']",['Szkoły'],"['Dzień Podchorążego (29 listopada)', 'Szkolnictwo artyleryjskie', 'Szkolnictwo wojskowe', 'Wojsko']",,,,
Marder II (działo samobieżne),,"['Działa samobieżne', 'Niszczyciele czołgów']",,,,,
Marder III (działo samobieżne),,"['Działa samobieżne', 'Niszczyciele czołgów']",,,,,
"Pociąg ""Steiermark""","['""Steiermark"", pociąg']",['Pociągi'],,,,,
Zatonięcie K-141 Kursk,"['Katastrofa ""Kurska""', 'Katastrofa okrętu podwodnego K-141 Kursk', 'Zatonięcie okrętu podwodnego K-141 Kursk', 'Zatonięcie ""Kurska""']",,"['Katastrofy morskie', 'K-141 Kursk (okręt podwodny)']",,,,
K-141 Kursk (okręt podwodny),['Kursk (okręt podwodny)'],['Okręty podwodne'],['Zatonięcie K-141 Kursk'],,,,
Szkolnictwo wojskowe,"['Klasy mundurowe', 'Licea wojskowe', 'Military education', 'Szkoły kadetów']",['Szkolnictwo'],"['Szkoły wojskowe', 'Wojsko']",['Szkolnictwo artyleryjskie'],,,
Korall (okręt),['Korall BMRT'],,,,,,
Polikarpov I-16,['I-16'],['Samoloty myśliwskie'],,,,,
Avia S-199,"['Mezek', 'S-199']",['Samoloty myśliwskie'],,,,,
Lockheed F-104 Starfighter,"['F-104 Starfighter', 'Starfighter Lockheed F-104']",['Samoloty myśliwskie'],,,,,
Polikarpov Po-2,"['Kukuruźnik', 'Po-2']","['Dwupłatowce', 'Samoloty wojskowe wielozadaniowe']",,,,,
MiG-17,"['Mikoyan Gurevich MiG-17', 'МиГ-17']",['Samoloty myśliwskie'],,,,,
Saab J29 Tunnan (samolot myśliwski),['Saab J29 Tunnan'],"['Saab (samoloty)', 'Samoloty myśliwskie']",,,,,
PZL TS-8 Bies (samolot szkolny),"['PZL TS-8 Bies', 'TS-8 Bies']",['Samoloty wojskowe szkolne'],,,,,
Hawker Tornado,,['Samoloty myśliwskie'],,,,,
Hawker Tempest,"['Hawker Typhoon II', 'Hawker Typhoon Mk II']",['Samoloty myśliwskie'],,,,,
Fouga CM.170 Magister,"['CM.170 Magister', 'Fouga Magister']",['Samoloty wojskowe szkolne'],,,,,
Fairey Barracuda (samolot bombowy),"['Fairey Barracuda', 'Barracuda (samolot)']",['Samoloty bombowe'],,,,,
Fairey Flycatcher,['Flycatcher (samolot)'],['Samoloty myśliwskie'],,,,,
Breguet 19 (samolot wojskowy),"['Breguet 19', 'Br.19', 'Bre.19', 'Breguet XIX']","['Samoloty bombowe', 'Samoloty rozpoznawcze']",,,,,
Farman F-68 Goliath (samolot bombowy),"['Farman F.68BN4 Goliath', 'Farman F.68 Goliath', 'Farman F-68 Goliath']",['Samoloty bombowe'],,,,,
Amiot 123 (samolot bombowy),"['Amiot 123', 'Amiot 123 BP3', 'Amiot 123GR2', 'SECM Amiot 123']",['Samoloty bombowe'],,,,,
